Mode,NUMA,Bench,Size,CPUs,Run,MBps
Native96,default,triad,20MB,48,3,1971048.74
Native96,default,triad,20MB,72,1,3096410.44
Native96,default,triad,20MB,72,2,2921489.25
Native96,default,triad,20MB,72,3,2905073.11
Native96,default,triad,20MB,96,1,3730525.92
Native96,default,triad,20MB,96,2,3786771.37
Native96,default,triad,20MB,96,3,3937155.40
Native96,default,triad,1GB,8,1,39143.88
Native96,default,triad,1GB,8,2,39147.14
Native96,default,triad,1GB,8,3,39139.80
Native96,default,triad,1GB,24,1,74296.22
Native96,default,triad,1GB,24,2,74113.10
Native96,default,triad,1GB,24,3,74479.86
Native96,default,triad,1GB,48,1,168583.39
Native96,default,triad,1GB,48,2,170272.91
Native96,default,triad,1GB,48,3,168738.95
Native96,default,triad,1GB,72,1,287973.98
Native96,default,triad,1GB,72,2,288665.51
Native96,default,triad,1GB,72,3,288696.44
Native96,default,triad,1GB,96,1,221940.33
Native96,default,triad,1GB,96,2,222494.54
Native96,default,triad,1GB,96,3,224972.97
Native96,default,copy_mem,20MB,8,1,56404.83
Native96,default,copy_mem,20MB,8,2,56423.33
Native96,default,copy_mem,20MB,8,3,56360.67
Native96,default,copy_mem,20MB,24,1,169167.10
Native96,default,copy_mem,20MB,24,2,168506.30
Native96,default,copy_mem,20MB,24,3,169215.88
Native96,default,copy_mem,20MB,48,1,317894.74
Native96,default,copy_mem,20MB,48,2,221004.33
Native96,default,copy_mem,20MB,48,3,322431.04
Native96,default,copy_mem,20MB,72,1,308525.64
Native96,default,copy_mem,20MB,72,2,436155.74
Native96,default,copy_mem,20MB,72,3,351173.88
Native96,default,copy_mem,20MB,96,1,332179.47
Native96,default,copy_mem,20MB,96,2,429543.37
Native96,default,copy_mem,20MB,96,3,432935.13
Native96,default,copy_mem,1GB,8,1,54124.08
Native96,default,copy_mem,1GB,8,2,54135.44
Native96,default,copy_mem,1GB,8,3,54189.73
Native96,default,copy_mem,1GB,24,1,94269.12
Native96,default,copy_mem,1GB,24,2,94290.26
Native96,default,copy_mem,1GB,24,3,93975.73
Native96,default,copy_mem,1GB,48,1,195028.44
Native96,default,copy_mem,1GB,48,2,194054.63
Native96,default,copy_mem,1GB,48,3,194973.14
Native96,default,copy_mem,1GB,72,1,351769.25
Native96,default,copy_mem,1GB,72,2,351586.56
Native96,default,copy_mem,1GB,72,3,350772.58
Native96,default,copy_mem,1GB,96,1,287922.96
Native96,default,copy_mem,1GB,96,2,287776.84
Native96,default,copy_mem,1GB,96,3,288126.19
SME96,default,peakflops,20MB,8,1,24903.72
SME96,default,peakflops,20MB,8,2,24896.06
SME96,default,peakflops,20MB,8,3,24934.98
SME96,default,peakflops,20MB,24,1,74814.94
SME96,default,peakflops,20MB,24,2,74865.68
SME96,default,peakflops,20MB,24,3,74794.89
SME96,default,peakflops,20MB,48,1,142880.65
SME96,default,peakflops,20MB,48,2,143966.37
SME96,default,peakflops,20MB,48,3,146628.46
SME96,default,peakflops,20MB,72,1,213910.73
SME96,default,peakflops,20MB,72,2,214071.01
SME96,default,peakflops,20MB,72,3,222143.11
SME96,default,peakflops,20MB,96,1,285235.43
SME96,default,peakflops,20MB,96,2,285396.98
SME96,default,peakflops,20MB,96,3,286596.99
SME96,default,peakflops,1GB,8,1,24781.30
SME96,default,peakflops,1GB,8,2,24810.30
SME96,default,peakflops,1GB,8,3,24803.88
SME96,default,peakflops,1GB,24,1,74148.41
SME96,default,peakflops,1GB,24,2,74110.90
SME96,default,peakflops,1GB,24,3,74070.96
SME96,default,peakflops,1GB,48,1,148197.11
SME96,default,peakflops,1GB,48,2,148155.74
SME96,default,peakflops,1GB,48,3,148107.81
SME96,default,peakflops,1GB,72,1,211540.55
SME96,default,peakflops,1GB,72,2,211170.08
SME96,default,peakflops,1GB,72,3,213951.39
SME96,default,peakflops,1GB,96,1,276172.83
SME96,default,peakflops,1GB,96,2,281648.11
SME96,default,peakflops,1GB,96,3,277381.74
SME96,default,triad,20MB,8,1,350513.09
SME96,default,triad,20MB,8,2,347236.14
SME96,default,triad,20MB,8,3,358368.86
SME96,default,triad,20MB,24,1,1040963.44
SME96,default,triad,20MB,24,2,1018996.18
SME96,default,triad,20MB,24,3,1037254.55
SME96,default,triad,20MB,48,1,2018234.61
SME96,default,triad,20MB,48,2,1947365.49
SME96,default,triad,20MB,48,3,2017816.43
SME96,default,triad,20MB,72,1,2922286.29
SME96,default,triad,20MB,72,2,3171167.70
SME96,default,triad,20MB,72,3,2909143.40
SME96,default,triad,20MB,96,1,3808193.12
SME96,default,triad,20MB,96,2,3907570.63
SME96,default,triad,20MB,96,3,4113252.90
SME96,default,triad,1GB,8,1,39720.38
SME96,default,triad,1GB,8,2,39154.36
SME96,default,triad,1GB,8,3,39148.94
SME96,default,triad,1GB,24,1,74317.75
SME96,default,triad,1GB,24,2,74587.39
SME96,default,triad,1GB,24,3,74355.25
SME96,default,triad,1GB,48,1,168240.67
SME96,default,triad,1GB,48,2,169229.91
SME96,default,triad,1GB,48,3,168459.48
SME96,default,triad,1GB,72,1,288538.91
SME96,default,triad,1GB,72,2,288356.92
SME96,default,triad,1GB,72,3,289407.05
SME96,default,triad,1GB,96,1,221767.02
SME96,default,triad,1GB,96,2,220943.81
SME96,default,triad,1GB,96,3,223623.50
SME96,default,copy_mem,20MB,8,1,56455.16
SME96,default,copy_mem,20MB,8,2,56479.15
SME96,default,copy_mem,20MB,8,3,56481.41
SME96,default,copy_mem,20MB,24,1,169486.92
SME96,default,copy_mem,20MB,24,2,169368.95
SME96,default,copy_mem,20MB,24,3,169261.70
SME96,default,copy_mem,20MB,48,1,321885.82
SME96,default,copy_mem,20MB,48,2,323097.02
SME96,default,copy_mem,20MB,48,3,316031.39
SME96,default,copy_mem,20MB,72,1,452526.98
SME96,default,copy_mem,20MB,72,2,444821.25
SME96,default,copy_mem,20MB,72,3,354854.95
SME96,default,copy_mem,20MB,96,1,423984.43
SME96,default,copy_mem,20MB,96,2,439105.66
SME96,default,copy_mem,20MB,96,3,431270.27
SME96,default,copy_mem,1GB,8,1,54200.28
SME96,default,copy_mem,1GB,8,2,54131.73
SME96,default,copy_mem,1GB,8,3,54194.61
SME96,default,copy_mem,1GB,24,1,93929.48
SME96,default,copy_mem,1GB,24,2,94441.06
SME96,default,copy_mem,1GB,24,3,94081.98
SME96,default,copy_mem,1GB,48,1,209159.87
SME96,default,copy_mem,1GB,48,2,208604.35
SME96,default,copy_mem,1GB,48,3,209056.55
SME96,default,copy_mem,1GB,72,1,350922.53
SME96,default,copy_mem,1GB,72,2,350316.96
SME96,default,copy_mem,1GB,72,3,351558.85
SME96,default,copy_mem,1GB,96,1,277893.12
SME96,default,copy_mem,1GB,96,2,279294.68
SME96,default,copy_mem,1GB,96,3,278639.59
